[opt] evaluating low-fidelity baseline candidate
[sim] emission 1/72 (count=  1.4%, route=  0.0%) time=2026-02-09T18:00:00+00:00 elapsed=   0.00m eta=  11.83m | aircraft lat=+44.8848 lon= -93.2223 alt=16500.0m ( 54133.9ft) speed= 425.4m/s ( 826.8kt) mach=1.25 eff_mach=1.375 | mode=takeoff_climb | atmo T=214.90K RH=  1.1% p=  95.52hPa c=293.88m/s w_proj=+15.55m/s c_eff=309.42m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.9 cutoff=no terminal_alt=[  -50.3,32733.9]m
[sim] emission 74/180 (count= 41.1%, route= 17.9%) time=2026-02-09T18:06:05+00:00 elapsed=   6.08m eta=   8.83m | aircraft lat=+44.3770 lon= -91.4622 alt=17105.7m ( 56121.1ft) speed= 405.4m/s ( 788.0kt) mach=1.19 eff_mach=1.316 | mode=enroute | atmo T=213.35K RH=  1.1% p=  87.05hPa c=292.81m/s w_proj=+15.23m/s c_eff=308.04m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.08m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.3 cutoff=no terminal_alt=[ -114.1,32679.3]m
[sim] emission 75/180 (count= 41.7%, route= 18.2%) time=2026-02-09T18:06:10+00:00 elapsed=   6.17m eta=   8.75m | aircraft lat=+44.3731 lon= -91.4364 alt=17093.5m ( 56080.9ft) speed= 405.4m/s ( 788.1kt) mach=1.19 eff_mach=1.315 | mode=enroute | atmo T=213.36K RH=  1.1% p=  87.21hPa c=292.82m/s w_proj=+15.48m/s c_eff=308.29m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.17m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 103.4 cutoff=no terminal_alt=[ -142.7,32686.9]m
[sim] emission 76/180 (count= 42.2%, route= 18.4%) time=2026-02-09T18:06:15+00:00 elapsed=   6.25m eta=   8.67m | aircraft lat=+44.3687 lon= -91.4108 alt=17081.6m ( 56042.0ft) speed= 405.5m/s ( 788.2kt) mach=1.19 eff_mach=1.314 | mode=enroute | atmo T=213.30K RH=  1.2% p=  87.37hPa c=292.78m/s w_proj=+15.78m/s c_eff=308.55m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.25m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 104.3 cutoff=no terminal_alt=[ -157.1,32682.0]m
[sim] emission 77/180 (count= 42.8%, route= 18.7%) time=2026-02-09T18:06:20+00:00 elapsed=   6.33m eta=   8.58m | aircraft lat=+44.3639 lon= -91.3853 alt=17070.2m ( 56004.4ft) speed= 405.6m/s ( 788.4kt) mach=1.19 eff_mach=1.314 | mode=enroute | atmo T=213.30K RH=  1.2% p=  87.53hPa c=292.78m/s w_proj=+15.93m/s c_eff=308.71m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.33m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 103.3 cutoff=no terminal_alt=[ -152.0,32637.2]m
[sim] emission 78/180 (count= 43.3%, route= 18.9%) time=2026-02-09T18:06:25+00:00 elapsed=   6.42m eta=   8.50m | aircraft lat=+44.3587 lon= -91.3599 alt=17059.1m ( 55968.3ft) speed= 405.6m/s ( 788.5kt) mach=1.19 eff_mach=1.313 | mode=enroute | atmo T=213.31K RH=  1.2% p=  87.67hPa c=292.78m/s w_proj=+16.08m/s c_eff=308.87m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.42m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.9 cutoff=no terminal_alt=[ -152.6,32780.5]m
[sim] emission 79/180 (count= 43.9%, route= 19.2%) time=2026-02-09T18:06:30+00:00 elapsed=   6.50m eta=   8.42m | aircraft lat=+44.3531 lon= -91.3347 alt=17048.6m ( 55933.6ft) speed= 405.7m/s ( 788.6kt) mach=1.19 eff_mach=1.313 | mode=enroute | atmo T=213.31K RH=  1.2% p=  87.82hPa c=292.79m/s w_proj=+16.20m/s c_eff=308.98m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.50m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 104.9 cutoff=no terminal_alt=[ -127.9,32611.3]m
[sim] emission 80/180 (count= 44.4%, route= 19.4%) time=2026-02-09T18:06:35+00:00 elapsed=   6.58m eta=   8.33m | aircraft lat=+44.3472 lon= -91.3096 alt=17038.5m ( 55900.5ft) speed= 405.7m/s ( 788.6kt) mach=1.19 eff_mach=1.312 | mode=enroute | atmo T=213.32K RH=  1.2% p=  87.96hPa c=292.79m/s w_proj=+16.36m/s c_eff=309.16m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.58m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.9 cutoff=no terminal_alt=[ -151.6,32737.9]m
[sim] emission 81/180 (count= 45.0%, route= 19.6%) time=2026-02-09T18:06:40+00:00 elapsed=   6.67m eta=   8.25m | aircraft lat=+44.3411 lon= -91.2847 alt=17028.9m ( 55869.0ft) speed= 405.8m/s ( 788.8kt) mach=1.19 eff_mach=1.312 | mode=enroute | atmo T=213.32K RH=  1.2% p=  88.09hPa c=292.79m/s w_proj=+16.45m/s c_eff=309.25m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.67m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 108.2 cutoff=no terminal_alt=[ -148.8,32720.0]m
[sim] emission 82/180 (count= 45.6%, route= 19.9%) time=2026-02-09T18:06:45+00:00 elapsed=   6.75m eta=   8.17m | aircraft lat=+44.3347 lon= -91.2598 alt=17019.8m ( 55839.1ft) speed= 405.8m/s ( 788.8kt) mach=1.19 eff_mach=1.312 | mode=enroute | atmo T=213.30K RH=  1.2% p=  88.21hPa c=292.78m/s w_proj=+16.60m/s c_eff=309.38m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.75m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.4 cutoff=no terminal_alt=[ -172.2,32725.6]m
[sim] emission 83/180 (count= 46.1%, route= 20.2%) time=2026-02-09T18:06:50+00:00 elapsed=   6.83m eta=   8.08m | aircraft lat=+44.3280 lon= -91.2351 alt=17011.1m ( 55810.9ft) speed= 405.8m/s ( 788.9kt) mach=1.19 eff_mach=1.311 | mode=enroute | atmo T=213.30K RH=  1.2% p=  88.33hPa c=292.78m/s w_proj=+16.68m/s c_eff=309.46m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.83m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 104.2 cutoff=no terminal_alt=[  -17.2,32818.8]m
[sim] emission 84/180 (count= 46.7%, route= 20.4%) time=2026-02-09T18:06:55+00:00 elapsed=   6.92m eta=   8.00m | aircraft lat=+44.3211 lon= -91.2105 alt=17003.1m ( 55784.3ft) speed= 405.9m/s ( 788.9kt) mach=1.19 eff_mach=1.311 | mode=enroute | atmo T=213.34K RH=  1.2% p=  88.44hPa c=292.81m/s w_proj=+16.78m/s c_eff=309.58m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +6.92m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 106.9 cutoff=no terminal_alt=[ -159.0,32845.0]m
[sim] emission 85/180 (count= 47.2%, route= 20.7%) time=2026-02-09T18:07:00+00:00 elapsed=   7.00m eta=   7.92m | aircraft lat=+44.3141 lon= -91.1859 alt=16995.5m ( 55759.6ft) speed= 405.9m/s ( 789.0kt) mach=1.19 eff_mach=1.311 | mode=enroute | atmo T=213.35K RH=  1.2% p=  88.54hPa c=292.81m/s w_proj=+16.83m/s c_eff=309.64m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.00m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 107.2 cutoff=no terminal_alt=[ -160.6,32545.4]m
[sim] emission 86/180 (count= 47.8%, route= 20.9%) time=2026-02-09T18:07:05+00:00 elapsed=   7.08m eta=   7.83m | aircraft lat=+44.3069 lon= -91.1615 alt=16988.6m ( 55736.8ft) speed= 405.9m/s ( 789.0kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.35K RH=  1.2% p=  88.64hPa c=292.81m/s w_proj=+16.96m/s c_eff=309.77m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.08m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 106.9 cutoff=no terminal_alt=[ -160.4,32613.3]m
[sim] emission 87/180 (count= 48.3%, route= 21.2%) time=2026-02-09T18:07:10+00:00 elapsed=   7.17m eta=   7.75m | aircraft lat=+44.2995 lon= -91.1371 alt=16982.2m ( 55715.8ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.35K RH=  1.2% p=  88.73hPa c=292.81m/s w_proj=+17.00m/s c_eff=309.81m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.17m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 106.3 cutoff=no terminal_alt=[  -27.0,32649.9]m
[sim] emission 88/180 (count= 48.9%, route= 21.4%) time=2026-02-09T18:07:15+00:00 elapsed=   7.25m eta=   7.67m | aircraft lat=+44.2920 lon= -91.1128 alt=16976.4m ( 55696.8ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.36K RH=  1.2% p=  88.81hPa c=292.82m/s w_proj=+17.03m/s c_eff=309.85m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.25m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.9 cutoff=no terminal_alt=[ -156.7,32629.7]m
[sim] emission 89/180 (count= 49.4%, route= 21.7%) time=2026-02-09T18:07:20+00:00 elapsed=   7.33m eta=   7.58m | aircraft lat=+44.2845 lon= -91.0886 alt=16971.2m ( 55679.7ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.39K RH=  1.2% p=  88.87hPa c=292.84m/s w_proj=+17.07m/s c_eff=309.91m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.33m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 106.6 cutoff=no terminal_alt=[ -153.2,32656.8]m
[sim] emission 90/180 (count= 50.0%, route= 21.9%) time=2026-02-09T18:07:25+00:00 elapsed=   7.42m eta=   7.50m | aircraft lat=+44.2768 lon= -91.0644 alt=16966.6m ( 55664.6ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.40K RH=  1.2% p=  88.94hPa c=292.84m/s w_proj=+17.10m/s c_eff=309.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.42m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 104.2 cutoff=no terminal_alt=[ -145.1,32701.8]m
[sim] emission 91/180 (count= 50.6%, route= 22.2%) time=2026-02-09T18:07:30+00:00 elapsed=   7.50m eta=   7.42m | aircraft lat=+44.2690 lon= -91.0403 alt=16962.6m ( 55651.4ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.37K RH=  1.2% p=  88.99hPa c=292.83m/s w_proj=+17.12m/s c_eff=309.95m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.50m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.2 cutoff=no terminal_alt=[  -27.2,32657.3]m
[sim] emission 92/180 (count= 51.1%, route= 22.4%) time=2026-02-09T18:07:35+00:00 elapsed=   7.58m eta=   7.33m | aircraft lat=+44.2612 lon= -91.0162 alt=16959.2m ( 55640.3ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.37K RH=  1.2% p=  89.03hPa c=292.83m/s w_proj=+17.14m/s c_eff=309.97m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.58m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 106.6 cutoff=no terminal_alt=[ -164.8,32806.5]m
[sim] emission 93/180 (count= 51.7%, route= 22.7%) time=2026-02-09T18:07:40+00:00 elapsed=   7.67m eta=   7.25m | aircraft lat=+44.2533 lon= -90.9922 alt=16956.4m ( 55631.3ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.38K RH=  1.1% p=  89.07hPa c=292.83m/s w_proj=+17.17m/s c_eff=310.00m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.67m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 106.8 cutoff=no terminal_alt=[ -145.9,32841.3]m
[sim] emission 94/180 (count= 52.2%, route= 22.9%) time=2026-02-09T18:07:45+00:00 elapsed=   7.75m eta=   7.17m | aircraft lat=+44.2453 lon= -90.9682 alt=16954.3m ( 55624.2ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.38K RH=  1.1% p=  89.10hPa c=292.83m/s w_proj=+17.18m/s c_eff=310.01m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.75m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.7 cutoff=no terminal_alt=[ -141.8,32658.9]m
[sim] emission 95/180 (count= 52.8%, route= 23.2%) time=2026-02-09T18:07:50+00:00 elapsed=   7.83m eta=   7.08m | aircraft lat=+44.2373 lon= -90.9443 alt=16952.8m ( 55619.3ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.32K RH=  1.2% p=  89.12hPa c=292.79m/s w_proj=+17.20m/s c_eff=309.99m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.83m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 108.4 cutoff=no terminal_alt=[   -5.1,32675.3]m
[sim] emission 96/180 (count= 53.3%, route= 23.4%) time=2026-02-09T18:07:55+00:00 elapsed=   7.92m eta=   7.00m | aircraft lat=+44.2292 lon= -90.9204 alt=16951.9m ( 55616.5ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.32K RH=  1.2% p=  89.12hPa c=292.79m/s w_proj=+17.20m/s c_eff=309.99m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +7.92m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 106.4 cutoff=no terminal_alt=[  -20.3,32741.5]m
[sim] emission 97/180 (count= 53.9%, route= 23.6%) time=2026-02-09T18:08:00+00:00 elapsed=   8.00m eta=   6.92m | aircraft lat=+44.2211 lon= -90.8965 alt=16951.7m ( 55615.7ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.32K RH=  1.2% p=  89.13hPa c=292.79m/s w_proj=+17.21m/s c_eff=310.00m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.00m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 106.6 cutoff=no terminal_alt=[ -155.3,32655.8]m
[sim] emission 98/180 (count= 54.4%, route= 23.9%) time=2026-02-09T18:08:05+00:00 elapsed=   8.08m eta=   6.83m | aircraft lat=+44.2129 lon= -90.8727 alt=16952.1m ( 55617.1ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.32K RH=  1.2% p=  89.11hPa c=292.79m/s w_proj=+17.21m/s c_eff=310.00m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.08m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 104.3 cutoff=no terminal_alt=[ -159.8,32703.3]m
[sim] emission 99/180 (count= 55.0%, route= 24.1%) time=2026-02-09T18:08:10+00:00 elapsed=   8.17m eta=   6.75m | aircraft lat=+44.2047 lon= -90.8489 alt=16953.2m ( 55620.7ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.24K RH=  1.2% p=  89.10hPa c=292.74m/s w_proj=+17.24m/s c_eff=309.98m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.17m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 107.6 cutoff=no terminal_alt=[ -157.6,32835.1]m
[sim] emission 100/180 (count= 55.6%, route= 24.4%) time=2026-02-09T18:08:15+00:00 elapsed=   8.25m eta=   6.67m | aircraft lat=+44.1964 lon= -90.8251 alt=16954.9m ( 55626.3ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.24K RH=  1.2% p=  89.07hPa c=292.74m/s w_proj=+17.24m/s c_eff=309.98m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.25m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.3 cutoff=no terminal_alt=[ -146.8,32831.2]m
[sim] emission 101/180 (count= 56.1%, route= 24.6%) time=2026-02-09T18:08:20+00:00 elapsed=   8.33m eta=   6.58m | aircraft lat=+44.1881 lon= -90.8013 alt=16957.3m ( 55634.2ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.24K RH=  1.2% p=  89.03hPa c=292.74m/s w_proj=+17.21m/s c_eff=309.95m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.33m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.1 cutoff=no terminal_alt=[ -152.2,32636.7]m
[sim] emission 102/180 (count= 56.7%, route= 24.9%) time=2026-02-09T18:08:25+00:00 elapsed=   8.42m eta=   6.50m | aircraft lat=+44.1798 lon= -90.7776 alt=16960.3m ( 55644.2ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.24K RH=  1.2% p=  88.99hPa c=292.74m/s w_proj=+17.21m/s c_eff=309.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.42m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 104.1 cutoff=no terminal_alt=[ -142.9,32749.7]m
[sim] emission 103/180 (count= 57.2%, route= 25.1%) time=2026-02-09T18:08:30+00:00 elapsed=   8.50m eta=   6.42m | aircraft lat=+44.1715 lon= -90.7539 alt=16964.1m ( 55656.3ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.20K RH=  1.2% p=  88.93hPa c=292.71m/s w_proj=+17.26m/s c_eff=309.97m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.50m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 108.0 cutoff=no terminal_alt=[ -138.4,32740.4]m
[sim] emission 104/180 (count= 57.8%, route= 25.4%) time=2026-02-09T18:08:35+00:00 elapsed=   8.58m eta=   6.33m | aircraft lat=+44.1631 lon= -90.7302 alt=16968.4m ( 55670.7ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.20K RH=  1.2% p=  88.87hPa c=292.71m/s w_proj=+17.25m/s c_eff=309.96m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.58m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.8 cutoff=no terminal_alt=[ -132.3,32595.7]m
[sim] emission 105/180 (count= 58.3%, route= 25.6%) time=2026-02-09T18:08:40+00:00 elapsed=   8.67m eta=   6.25m | aircraft lat=+44.1547 lon= -90.7065 alt=16973.5m ( 55687.3ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.20K RH=  1.2% p=  88.80hPa c=292.71m/s w_proj=+17.24m/s c_eff=309.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.67m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.0 cutoff=no terminal_alt=[ -136.2,32770.2]m
[sim] emission 106/180 (count= 58.9%, route= 25.9%) time=2026-02-09T18:08:45+00:00 elapsed=   8.75m eta=   6.17m | aircraft lat=+44.1463 lon= -90.6828 alt=16979.2m ( 55706.0ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.10K RH=  1.2% p=  88.71hPa c=292.64m/s w_proj=+17.32m/s c_eff=309.96m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.75m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 106.6 cutoff=no terminal_alt=[ -128.6,32761.3]m
[sim] emission 107/180 (count= 59.4%, route= 26.1%) time=2026-02-09T18:08:50+00:00 elapsed=   8.83m eta=   6.08m | aircraft lat=+44.1379 lon= -90.6592 alt=16985.6m ( 55727.0ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.09K RH=  1.2% p=  88.62hPa c=292.64m/s w_proj=+17.30m/s c_eff=309.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.83m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 107.1 cutoff=no terminal_alt=[ -129.1,32822.6]m
[sim] emission 108/180 (count= 60.0%, route= 26.4%) time=2026-02-09T18:08:55+00:00 elapsed=   8.92m eta=   6.00m | aircraft lat=+44.1294 lon= -90.6356 alt=16992.7m ( 55750.2ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.09K RH=  1.2% p=  88.52hPa c=292.63m/s w_proj=+17.28m/s c_eff=309.91m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +8.92m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.6 cutoff=no terminal_alt=[ -143.2,32779.7]m
[sim] emission 109/180 (count= 60.6%, route= 26.6%) time=2026-02-09T18:09:00+00:00 elapsed=   9.00m eta=   5.92m | aircraft lat=+44.1210 lon= -90.6119 alt=17000.4m ( 55775.6ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.09K RH=  1.2% p=  88.41hPa c=292.63m/s w_proj=+17.30m/s c_eff=309.93m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.00m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 107.8 cutoff=no terminal_alt=[ -127.9,32908.4]m
[sim] emission 110/180 (count= 61.1%, route= 26.8%) time=2026-02-09T18:09:05+00:00 elapsed=   9.08m eta=   5.83m | aircraft lat=+44.1125 lon= -90.5883 alt=17008.8m ( 55803.3ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.04K RH=  1.2% p=  88.29hPa c=292.60m/s w_proj=+17.33m/s c_eff=309.93m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.08m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 109.7 cutoff=no terminal_alt=[  -89.4,32754.6]m
[sim] emission 111/180 (count= 61.7%, route= 27.1%) time=2026-02-09T18:09:10+00:00 elapsed=   9.17m eta=   5.75m | aircraft lat=+44.1040 lon= -90.5647 alt=17017.9m ( 55833.1ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.04K RH=  1.2% p=  88.15hPa c=292.60m/s w_proj=+17.33m/s c_eff=309.93m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.17m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 108.4 cutoff=no terminal_alt=[ -125.2,32793.9]m
[sim] emission 112/180 (count= 62.2%, route= 27.3%) time=2026-02-09T18:09:15+00:00 elapsed=   9.25m eta=   5.67m | aircraft lat=+44.0955 lon= -90.5412 alt=17027.7m ( 55865.3ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.04K RH=  1.2% p=  88.02hPa c=292.60m/s w_proj=+17.30m/s c_eff=309.89m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.25m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 108.3 cutoff=no terminal_alt=[ -118.3,32930.8]m
[sim] emission 113/180 (count= 62.8%, route= 27.6%) time=2026-02-09T18:09:20+00:00 elapsed=   9.33m eta=   5.58m | aircraft lat=+44.0870 lon= -90.5176 alt=17038.2m ( 55899.6ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.03K RH=  1.2% p=  87.87hPa c=292.59m/s w_proj=+17.26m/s c_eff=309.85m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.33m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 108.4 cutoff=no terminal_alt=[ -117.5,32765.0]m
[sim] emission 114/180 (count= 63.3%, route= 27.8%) time=2026-02-09T18:09:25+00:00 elapsed=   9.42m eta=   5.50m | aircraft lat=+44.0785 lon= -90.4940 alt=17049.1m ( 55935.3ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=212.99K RH=  1.2% p=  87.71hPa c=292.57m/s w_proj=+17.38m/s c_eff=309.95m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.42m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 106.9 cutoff=no terminal_alt=[ -123.3,32693.6]m
[sim] emission 115/180 (count= 63.9%, route= 28.1%) time=2026-02-09T18:09:30+00:00 elapsed=   9.50m eta=   5.42m | aircraft lat=+44.0703 lon= -90.4703 alt=17057.9m ( 55964.2ft) speed= 406.0m/s ( 789.3kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=212.99K RH=  1.2% p=  87.59hPa c=292.57m/s w_proj=+17.31m/s c_eff=309.88m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.50m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 105.3 cutoff=no terminal_alt=[ -129.5,32882.4]m
[sim] emission 116/180 (count= 64.4%, route= 28.3%) time=2026-02-09T18:09:35+00:00 elapsed=   9.58m eta=   5.33m | aircraft lat=+44.0624 lon= -90.4463 alt=17064.3m ( 55985.2ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.05K RH=  1.2% p=  87.49hPa c=292.61m/s w_proj=+17.30m/s c_eff=309.91m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.58m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 107.2 cutoff=no terminal_alt=[ -105.6,32650.5]m
[sim] emission 117/180 (count= 65.0%, route= 28.6%) time=2026-02-09T18:09:40+00:00 elapsed=   9.67m eta=   5.25m | aircraft lat=+44.0549 lon= -90.4221 alt=17068.5m ( 55999.1ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.05K RH=  1.2% p=  87.43hPa c=292.61m/s w_proj=+17.25m/s c_eff=309.85m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.67m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 109.7 cutoff=no terminal_alt=[ -135.0,32756.5]m
[sim] emission 118/180 (count= 65.6%, route= 28.8%) time=2026-02-09T18:09:45+00:00 elapsed=   9.75m eta=   5.17m | aircraft lat=+44.0475 lon= -90.3978 alt=17070.8m ( 56006.6ft) speed= 406.0m/s ( 789.2kt) mach=1.19 eff_mach=1.310 | mode=enroute | atmo T=213.08K RH=  1.2% p=  87.40hPa c=292.63m/s w_proj=+17.32m/s c_eff=309.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.75m | rays=9 ground_hits=2 ( 22.2%) avg_pts= 107.4 cutoff=no terminal_alt=[ -151.4,32899.9]m
